financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1986-1987,26/06/1986,auction,IL 8642,SAI NING ST. ADJ IL 8621,I,industrial,1020,13,,high,,,INLAND LOT NO. 8642,N.A.,N.A.,N.A. | N.A. | N.A.,22.28169702,114.1218951,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,7/7/1986,,TWTL 306,"WAI TSUEN RD, TSUEN WAN",R1,residential,3750,171.75,,high,,,TSUEN WAN TOWN LOT NO. 306,N.A.,N.A.,N.A. | N.A. | N.A.,22.37431445,114.1212665,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Fairview Garden,,Named development,N.A.
1986-1987,7/7/1986,,TMTL 242,GL NEAR TAI HING ESTATE,R1,residential,10080,23.57,,high,,,TUEN MUN TOWN LOT NO. 242,N.A.,N.A.,N.A. | N.A. | N.A.,22.40078032,113.9721928,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,8/7/1986,,YLTL 435,J/O YAU SAN ST/FAU TSOI ST,C/R,commercial_residential_mixed,1080,1.87,,high,,,YUEN LONG TOWN LOT NO. 435,N.A.,N.A.,N.A. | N.A. | N.A.,22.44400043,114.0307861,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Wang Fung Building,,Named development,N.A.
1986-1987,15/07/1986,,YLTL 433,CASTLE PEAK RD,R1,residential,1434,10.01,,high,,,YUEN LONG TOWN LOT NO. 433,N.A.,N.A.,N.A. | N.A. | N.A.,22.44419251,114.0335157,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/07/1986,tender,LOT 1760 in CHEUNG CHAU,"PAK SHE, CHEUNG CHAU",V,residential,260,1.16,,high,,,LOT 1760 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.21226579,114.0267597,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/07/1986,tender,LOT 1761 in CHEUNG CHAU,"PAK SHE, CHEUNG CHAU",V,residential,260,1.44,,high,,,LOT 1761 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.2121999,114.0268685,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,9/9/1986,,STTL 293,TAI CHUNG KIU RD,R2,residential,5598,12.34,,high,,,SHA TIN TOWN LOT NO. 293,N.A.,N.A.,N.A. | N.A. | N.A.,22.39284429,114.2064344,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,9/9/1986,,TMTL 300,AREA 37B,R1,residential,6849,12.85,,high,,,TUEN MUN TOWN LOT NO. 300,N.A.,N.A.,N.A. | N.A. | N.A.,22.38597161,113.9804976,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Rainbow Garden (Common Areas),,Named development,
1986-1987,9/9/1986,,YLTL 436,"YAU SAN ST, YUEN LONG",C/R,commercial_residential_mixed,412,1.26,,high,,,YUEN LONG TOWN LOT NO. 436,N.A.,N.A.,N.A. | N.A. | N.A.,22.44360349,114.0312237,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
