Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
111,TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4200 ha,9.5,50.0,January 2005,2004/2005,1
112,RBL 1159,"Peak Pavilions, 12 Mt. Kellett Road, the Peak",Residential R3,0.7353 ha,,,April 2005,2005/2006,1
113,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,April 2005,2005/2006,1
114,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,April 2005,2005/2006,1
115,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,April 2005,2005/2006,1
116,AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,April 2005,2005/2006,1
117,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,April 2005,2005/2006,1
118,RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,April 2005,2005/2006,1
119,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,,,April 2005,2005/2006,1
120,RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,April 2005,2005/2006,1
121,TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,April 2005,2005/2006,1
122,TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,April 2005,2005/2006,1
123,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R3,0.3173 ha,,,April 2005,2005/2006,0
124,KIL 11168,"Hoi Ting Road, West Kowloon Reclamation Area",Residential R1,0.7397 ha,,,April 2005,2005/2006,0
125,KIL 11146,"Hoi Fai Road, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,,,April 2005,2005/2006,0
126,KIL 11167,"J/O Hoi Wang Road and Hoi Ting Road, West Kowloon Reclamation Area",Residential R1,0.6179 ha,,,April 2005,2005/2006,0
127,Lot 673 DD Peng Chau,"Site 2, Tung Wan, Peng Chau",Residential R3,0.1093 ha,,,August 2005,2005/2006,0
128,NKIL 6350,"Fung Shing Street, Ngau Chi Wan",Residential R2,1.4400 ha,,,September 2005,2005/2006,0
129,IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0527 ha,,,October 2005,2005/2006,0
130,IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,October 2005,2005/2006,0
131,TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,October 2005,2005/2006,0
132,Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,November 2005,2005/2006,0
133,Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,November 2005,2005/2006,0
134,NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,November 2005,2005/2006,0
135,Lot 2129 in DD 121,"Ping Shan Development Stage II, Yuen Long",Residential R3,0.6020 ha,,,December 2005,2005/2006,0
136,NKIL 6313,J/o Cheung Yip Street & Sheung Yee Road,Business,0.2560 ha,,,December 2005,2005/2006,0
137,TLTL 68,"Tsing Lung Tau, Tsuen Wan (Dragon Villa)",Residential R3,0.2500 ha,,,December 2005,2005/2006,0
138,Lot 674 DD Peng Chau,"Site 1, Tung Wan, Peng Chau",Residential R3,0.1760 ha,,,December 2005,2005/2006,0
139,IL 9007,103 Mt. Nicholson Road,Residential R3,2.3290 ha,,,January 2006,2005/2006,0
140,STTL 548,"Site 9A & B, Area 77, Ma On Shan",Residential R2,1.6100 ha,,,January 2006,2005/2006,0
