Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,Nov-2005,2005/2006,0
Lot 2129 in DD 121,"Ping Shan Development Stage II, Yuen Long",Residential R3,0.6020 ha,,,Dec-2005,2005/2006,0
NKIL 6313,J/o Cheung Yip Street & Sheung Yee Road,Business,0.2560 ha,,,Dec-2005,2005/2006,0
TLTL 68,"Tsing Lung Tau, Tsuen Wan (Dragon Villa)",Residential R3,0.2500 ha,,,Dec-2005,2005/2006,0
Lot 674 DD Peng Chau,"Site 1, Tung Wan, Peng Chau",Residential R3,0.1760 ha,,,Dec-2005,2005/2006,0
IL 9007,103 Mt. Nicholson Road,Residential R3,2.3290 ha,,,Jan-2006,2005/2006,0
STTL 548,"Site 9A & B, Area 77, Ma On Shan",Residential R2,1.6100 ha,,,Jan-2006,2005/2006,0
TPTL 188,"Pak Shek Kok Reclamation Phase I, Site C",Residential R2,1.9613 ha,,,Feb-2006,2005/2006,0
TPTL 187,"Pak Shek Kok Reclamation Phase I, Site A",Residential R2,0.9976 ha,,,Feb-2006,2005/2006,0
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Feb-2006,2005/2006,0
KIL 11073,"J/O Hoi Wan Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,Mar-2006,2005/2006,0
IL 8949,"21, 23 and 25 Borrett Road, Mid-levels West",Residential R2,1.0488 ha,,,Mar-2006,2005/2006,0
Lot 1950 in DD 221,"Sai Kung Town, Area 4",Commercial,1.7460 ha,,,Mar-2006,2005/2006,0
RBL 1159,"Peak Pavilions, 12 Mt. Kellett Road, The Peak",Residential R3,0.7353 ha,,,Now,2006/2007,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,Now,2006/2007,1
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2006/2007,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,Now,2006/2007,1
